date,geo,Brand_Cost,Non_Brand_Cost,DVD_Cost,Retargeting_Cost,Prospecting_Cost,Brand_Impressions,Non_Brand_Impressions,DVD_Impressions,Retargeting_Impressions,Prospecting_Impressions,Gross_Leads,tax_credit_shift,storm_acute,storm_tail,population,Billboard_Cost,Billboard_Impressions,DirectMail_Impressions,GQV_Brand,GQV_Generic
2024-01-01,Austin,194.454,2126.693,482.1217,12.111087,1952.2587,246.0,3527.0,103813.0,966.0,101474.0,12.0,0.0,0.0,0.0,1.0298e+06,0.0,0.0,0.0,0.00079,0.25045
2024-01-08,Austin,234.7488,2929.471,592.7766,26.014914,2641.2036,244.0,4513.0,196552.0,1678.0,124012.0,27.0,0.0,0.0,0.0,1.0298e+06,0.0,0.0,0.0,0.00098,0.36063
2024-01-15,Austin,233.8848,3029.144,1033.5951,13.825719,1762.8882,308.0,4451.0,65993.0,867.0,81967.0,37.0,0.0,0.0,0.0,1.0298e+06,0.0,0.0,0.0,0.00101,0.30976
2024-01-22,Austin,304.398,2454.103,833.1151,12.428584,1212.2335,318.0,3709.0,135999.0,976.0,53208.0,65.0,0.0,0.0,0.0,1.0298e+06,0.0,0.0,0.0,0.00098,0.32985
2024-01-29,Austin,268.5636,2618.3655,276.24976,13.216436,1098.2905,299.0,3888.0,19310.0,841.0,51007.0,57.0,0.0,0.0,0.0,1.0298e+06,0.0,0.0,0.0,0.00098,0.33805
2024-02-05,Austin,310.5972,2717.7324,133.98747,18.208052,1069.7776,351.0,3763.0,16432.0,1054.0,39441.0,49.0,0.0,0.0,0.0,1.0298e+06,0.0,0.0,0.0,0.0014,0.34298
2024-02-12,Austin,248.5188,2247.269,172.87901,96.56674,455.29462,252.0,3967.0,17724.0,5765.0,18232.0,48.0,0.0,0.0,0.0,1.0298e+06,0.0,0.0,0.0,0.00111,0.33912
2024-02-19,Austin,331.6356,2222.1094,319.68704,140.41292,409.36786,328.0,3576.0,19096.0,8231.0,16557.0,58.0,0.0,0.0,0.0,1.0298e+06,0.0,0.0,0.0,0.00116,0.32993
2024-02-26,Austin,325.45145,1308.955,376.08047,173.92772,508.8013,302.0,2718.0,48700.0,7897.0,18401.0,75.0,0.0,0.0,0.0,1.0298e+06,0.0,0.0,0.0,0.00124,0.33854
2024-03-04,Austin,350.6252,2607.7944,300.26923,207.67175,585.50806,349.0,3777.0,14476.0,8967.0,22827.0,138.0,0.0,0.0,0.0,1.0298e+06,0.0,0.0,0.0,0.00119,0.33644
2024-03-11,Austin,360.77188,3787.0056,93.74035,192.59836,905.09283,337.0,4410.0,5796.0,9413.0,36041.0,78.0,0.0,0.0,0.0,1.0298e+06,0.0,0.0,0.0,0.00095,0.30247
2024-03-18,Austin,423.4211,4151.7476,126.7502,241.59447,1090.3257,393.0,5212.0,6573.0,14130.0,46990.0,63.0,0.0,0.0,0.0,1.0298e+06,0.0,0.0,0.0,0.00105,0.34408
2024-03-25,Austin,623.5656,4166.3706,52.1347,233.2773,1316.117,360.0,5679.0,18464.0,13460.0,62129.0,77.0,0.0,0.0,0.0,1.0298e+06,0.0,0.0,0.0,0.00088,0.35444
2024-04-01,Austin,901.4648,4077.4905,162.84218,232.35057,1742.5957,440.0,6943.0,9472.0,14638.0,97990.0,97.0,0.0,0.0,0.0,1.0298e+06,0.0,0.0,0.0,0.00107,0.34839
2024-04-08,Austin,435.06683,5584.546,158.3174,166.86742,1361.2488,357.0,8448.0,10349.0,12570.0,72284.0,93.0,0.0,0.0,0.0,1.0298e+06,0.0,0.0,0.0,0.00088,0.36342
2024-04-15,Austin,482.18817,3125.6096,174.21664,138.08884,1006.8178,391.0,6329.0,22551.0,9148.0,50079.0,69.0,0.0,0.0,0.0,1.0298e+06,0.0,0.0,0.0,0.00093,0.31931
2024-04-22,Austin,563.8604,3554.7202,119.47006,132.32445,917.54193,415.0,7409.0,16678.0,7594.0,50499.0,68.0,0.0,0.0,0.0,1.0298e+06,0.0,0.0,0.0,0.00108,0.35189
2024-04-29,Austin,758.76965,4732.811,211.5263,131.49786,731.01605,479.0,7802.0,21197.0,6695.0,34734.0,63.0,0.0,0.0,0.0,1.0298e+06,0.0,0.0,0.0,0.00124,0.31435
